id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception
67,SINK_M,SimpleCase,Actuator,M.B,13,1,8,1,ServiceA,0,96.0640123513617,96.0640123513617,89.93899827160492,96.0640123513617
72,COMP_M,SimpleCase,ServiceA,M.A,0,5,0,15,Sensor,2.2535211267605635,97.00117063492064,99.2546917616812,83.0,97.00117063492064
78,COMP_M,SimpleCase,ServiceA,M.A,0,16,0,11,Sensor,5.031446540880503,97.00172719298247,102.03317373386298,89.0,97.00172719298247
73,SINK_M,SimpleCase,Actuator,M.B,11,1,6,1,ServiceA,0,98.00014485157689,98.00014485157689,96.00013520408153,98.00014485157689
68,SINK_M,SimpleCase,Actuator,M.B,14,1,9,1,ServiceA,0,99.00014939703144,99.00014939703144,92.00089444444443,99.00014939703144
86,COMP_M,SimpleCase,ServiceA,M.A,0,11,0,6,Sensor,10.0,99.00024353741478,109.00024353741478,97.0,99.00024353741478
79,COMP_M,SimpleCase,ServiceA,M.A,0,13,0,8,Sensor,4.938271604938271,99.00189333333336,103.94016493827162,90.0,99.00189333333336
74,SINK_M,SimpleCase,Actuator,M.B,8,1,3,1,ServiceA,0,100.00015394248598,100.00015394248598,96.87668706952556,100.00015394248598
87,COMP_M,SimpleCase,ServiceA,M.A,0,8,0,3,Sensor,9.876543209876543,100.00025219298226,109.8767954028588,98.0,100.00025219298226
75,SINK_M,SimpleCase,Actuator,M.B,9,1,4,1,ServiceA,0,101.00015848794052,101.00015848794052,97.93803986542432,101.00015848794052
88,COMP_M,SimpleCase,ServiceA,M.A,0,9,0,4,Sensor,9.937888198757763,101.0002599999998,110.93814819875756,99.0,101.0002599999998
76,SINK_M,SimpleCase,Actuator,M.B,12,1,7,1,ServiceA,0,102.00016303339507,102.00016303339507,97.06467447257384,102.00016303339507
90,COMP_M,SimpleCase,ServiceA,M.A,0,7,0,2,Sensor,8.98876404494382,103.00001666666665,111.98878071161047,102.0,103.00001666666665
69,SINK_M,SimpleCase,Actuator,M.B,2,1,12,1,ServiceA,0,103.00016757884961,103.00016757884961,94.2999561302682,103.00016757884961
83,COMP_M,SimpleCase,ServiceA,M.A,0,14,0,9,Sensor,5.0,103.0022277777778,108.0022277777778,94.0,103.0022277777778
81,SINK_M,SimpleCase,Actuator,M.B,7,1,2,1,ServiceA,0,104.00017212430416,104.00017212430416,101.98895571161033,104.00017212430416
77,SINK_M,SimpleCase,Actuator,M.B,15,1,10,1,ServiceA,0,105.0001766697587,105.0001766697587,99.97050319028799,105.0001766697587
